id,Estadio,Localização,Estado
25,Estádio General Sylvio Raulino de Oliveira,"Volta Redonda, Rio de Janeiro, Brasil",Rio de Janeiro
26,Estádio Raimundo Sampaio,"Horto, Belo Horizonte, Minas Gerais, Brasil",Minas Gerais
27,Arena do Grêmio,"Farrapos, Porto Alegre, Rio Grande do Sul, Brasil[2]",Rio Grande do Sul
28,Estádio Luso Brasileiro,"Rua Haroldo Lobo, 400 - Rio de Janeiro, Rio de Janeiro, Brasil",Rio de Janeiro
29,Estádio Nabi Abi Chedid,"Bragança Paulista, São Paulo, Brasil",São Paulo
30,Arena MRV,"Belo Horizonte, Minas Gerais, Brasil",Minas Gerais
31,Arena Barueri,"Barueri, São Paulo, Brasil",São Paulo
32,Arena Pantanal,"Cuiabá, Mato Grosso, Brasil",Mato Grosso
33,Estádio Alfredo Jaconi,"Caxias do Sul, Rio Grande do Sul",Rio Grande do Sul
34,Estádio Municipal Parque do Sabiá,"Uberlândia, MG, Brasil",Minas Gerais
35,Estádio Joaquim Henrique Nogueira,"Sete Lagoas, MG, Brasil",Minas Gerais
36,Estádio Nacional de Brasília Mané Garrincha,"SRPN (Setor de Recreação Pública Norte), Brasília, Distrito Federal, Brasil",Distrito Federal
37,Estádio Estadual Kléber José de Andrade,Não Encontrado,Não Encontrado
38,Estádio Orlando Scarpelli,"Florianópolis, Santa Catarina, Brasil",Santa Catarina
39,Estádio Governador Roberto Santos,Não Encontrado,Não Encontrado
40,Estádio Antonio Accioly,"Avenida Perimetral, Setor Campinas - Goiânia, Goiás, Brasil",Goiás
41,Estádio Eládio de Barros Carvalho,"Recife, Pernambuco, Brasil",Pernambuco
42,Estádio Doutor Osvaldo Texeira Duarte,Não Encontrado,Não Encontrado
43,Estádio Moisés Lucarelli,"Campinas, São Paulo, Brasil",São Paulo
44,Estádio Elmo Serejo Farias,"Taguatinga, Distrito Federal, Brasil",Distrito Federal
45,Estádio Valmir Campelo Bezerra,Não Encontrado,Não Encontrado
46,Estádio Adelmar da Costa Carvalho,"Recife, Pernambuco, Brasil",Pernambuco
47,Arena Condá,"Centro, Chapecó, Santa Catarina, Brasil",Santa Catarina
48,Arena de Pernambuco,"São Lourenço da Mata, Pernambuco, Brasil",Pernambuco
49,Estádio Paulo Constantino,"Avenida Presidente Juscelino Kubitschek, s/nº - Presidente Prudente, São Paulo, Brasil",São Paulo
50,Estádio Municipal Radialista Mário Helênio,"Juiz de Fora, Minas Gerais, Brasil",Minas Gerais
51,Estádio Francisco Stédile,"Caxias do Sul, Rio Grande do Sul, Brasil",Rio Grande do Sul
52,Estádio Vail Chaves,"Mogi Mirim, São Paulo, Brasil",São Paulo
53,Estádio do Vale,"Novo Hamburgo, Rio Grande do Sul, Brasil",Rio Grande do Sul
54,Estádio Heriberto Hülse,"Criciúma, Santa Catarina, Brasil",Santa Catarina
55,Estádio Cláudio Moacyr de Azevedo,"Avenida Luiz Lírio, s/nº - Barra de Macaé, RJ, Brasil",Rio de Janeiro
56,Estádio General Sílvio Raulino de Oliveira,Não Encontrado,Não Encontrado
57,Estádio Municipal Doutor Novelli Júnior,"Itu, SP, Brasil",São Paulo
58,Arena Joinville,"Joinville, Santa Catarina, Brasil",Santa Catarina
59,Estádio Benedito Teixeira,"São José do Rio Preto, São Paulo, Brasil",São Paulo
60,Estádio Estadual Lourival Baptista,"Aracaju, SE",Sergipe
61,Estádio Alberto Oliveira,"Feira de Santana, Bahia, Brasil",Bahia
62,Estádio Érton Coelho de Queiroz,"Curitiba, Paraná, Brasil",Paraná
63,Estádio Universitário Pedro Pedrossian,"Campo Grande, Mato Grosso do Sul,  Brasil",Mato Grosso do Sul
64,MorumBIS,Não Encontrado,Não Encontrado
65,Estádio Presidente Vargas,Não Encontrado,Não Encontrado
66,Estádio Estadual Jornalista Edgar Augusto Proença,"Belém, Pará, Brasil",Pará
67,Estádio Municipal Anacleto Campanella,"São Caetano do Sul, São Paulo, Brasil",São Paulo
68,Estádio Municipal João Lamego Netto,"Ipatinga, Minas Gerais, Brasil",Minas Gerais
69,Estádio Municipal Jacy Scaff,"Londrina, Paraná, Brasil",Paraná
70,Campus Realzale Gazteak,Não Encontrado,Não Encontrado
71,Estádio Governador João Castelo - Castelão,Não Encontrado,Não Encontrado
72,Estádio Doutor Adhemar de Barros,"Araraquara, São Paulo, Brasil",São Paulo
73,Estádio José do Rego Maciel,"Recife, Pernambuco, Brasil",Pernambuco
74,Estadio Parque Maracaná,Não Encontrado,Não Encontrado
75,Estádio Giulite Coutinho,"Mesquita, RJ, Brasil",Rio de Janeiro
76,Arena das Dunas,"Avenida Prudente de Morais, 5121 (Lagoa Nova), Natal, Rio Grande do Norte, Brasil[2]",Rio Grande do Norte
77,Pinheirão,"Avenida Victor Ferreira do Amaral, 1930 (Tarumã) - Curitiba, Paraná, Brasil",Paraná
78,Estádio João Cláudio de Vasconcelos Machado,"Natal, Rio Grande do Norte, Brasil",Rio Grande do Norte
79,Estádio Olímpico Pedro Ludovico Teixeira,"Goiânia, Goiás, Brasil",Goiás
80,Estádio Bruno José Daniel,"Santo André, SP, Brasil",São Paulo
81,Estádio Rei Pelé,"Maceió, Alagoas, Brasil",Alagoas
82,Arena da Amazônia,"Av. Constantino Nery, 5001 Flores, Manaus, Brasil",Manaus
